Date,Open,High,Low,Close
04/26/2023,"140.82","140.82","140.82","140.82"
04/25/2023,"141.36","141.36","141.36","141.36"
04/24/2023,"143.63","143.63","143.63","143.63"
04/21/2023,"143.51","143.51","143.51","143.51"
04/20/2023,"143.37","143.37","143.37","143.37"
04/19/2023,"144.22","144.22","144.22","144.22"
04/18/2023,"144.23","144.23","144.23","144.23"
04/17/2023,"144.11","144.11","144.11","144.11"
04/14/2023,"143.63","143.63","143.63","143.63"
04/13/2023,"143.93","143.93","143.93","143.93"
04/12/2023,"142.02","142.02","142.02","142.02"
04/11/2023,"142.61","142.61","142.61","142.61"
04/10/2023,"142.61","142.61","142.61","142.61"
04/06/2023,"142.47","142.47","142.47","142.47"
04/05/2023,"141.93","141.93","141.93","141.93"
04/04/2023,"142.81","142.81","142.81","142.81"
04/03/2023,"143.63","143.63","143.63","143.63"
03/31/2023,"143.10","143.10","143.10","143.10"
03/30/2023,"141.05","141.05","141.05","141.05"
03/29/2023,"140.23","140.23","140.23","140.23"
03/28/2023,"138.27","138.27","138.27","138.27"
03/27/2023,"138.48","138.48","138.48","138.48"
03/24/2023,"138.25","138.25","138.25","138.25"
03/23/2023,"137.48","137.48","137.48","137.48"
03/22/2023,"137.06","137.06","137.06","137.06"
03/21/2023,"139.34","139.34","139.34","139.34"
03/20/2023,"137.54","137.54","137.54","137.54"
03/17/2023,"136.33","136.33","136.33","136.33"
03/16/2023,"137.84","137.84","137.84","137.84"
03/15/2023,"135.44","135.44","135.44","135.44"
03/14/2023,"136.39","136.39","136.39","136.39"
03/13/2023,"134.10","134.10","134.10","134.10"
03/10/2023,"134.32","134.32","134.32","134.32"
03/09/2023,"136.31","136.31","136.31","136.31"
03/08/2023,"138.85","138.85","138.85","138.85"
03/07/2023,"138.64","138.64","138.64","138.64"
03/06/2023,"140.80","140.80","140.80","140.80"
03/03/2023,"140.70","140.70","140.70","140.70"
03/02/2023,"138.45","138.45","138.45","138.45"
03/01/2023,"137.39","137.39","137.39","137.39"
02/28/2023,"138.03","138.03","138.03","138.03"
02/27/2023,"138.44","138.44","138.44","138.44"
02/24/2023,"138.00","138.00","138.00","138.00"
02/23/2023,"139.46","139.46","139.46","139.46"
02/22/2023,"138.71","138.71","138.71","138.71"
02/21/2023,"138.93","138.93","138.93","138.93"
02/17/2023,"141.77","141.77","141.77","141.77"
02/16/2023,"142.13","142.13","142.13","142.13"
02/15/2023,"144.11","144.11","144.11","144.11"
02/14/2023,"143.67","143.67","143.67","143.67"
02/13/2023,"143.69","143.69","143.69","143.69"
02/10/2023,"142.05","142.05","142.05","142.05"
02/09/2023,"141.71","141.71","141.71","141.71"
02/08/2023,"142.95","142.95","142.95","142.95"
02/07/2023,"144.55","144.55","144.55","144.55"
02/06/2023,"142.71","142.71","142.71","142.71"
02/03/2023,"143.58","143.58","143.58","143.58"
02/02/2023,"145.07","145.07","145.07","145.07"
02/01/2023,"142.96","142.96","142.96","142.96"
01/31/2023,"141.48","141.48","141.48","141.48"
01/30/2023,"139.44","139.44","139.44","139.44"
01/27/2023,"141.26","141.26","141.26","141.26"
01/26/2023,"140.91","140.91","140.91","140.91"
01/25/2023,"139.36","139.36","139.36","139.36"
01/24/2023,"139.39","139.39","139.39","139.39"
01/23/2023,"139.48","139.48","139.48","139.48"
01/20/2023,"137.84","137.84","137.84","137.84"
01/19/2023,"135.28","135.28","135.28","135.28"
01/18/2023,"136.31","136.31","136.31","136.31"
01/17/2023,"138.46","138.46","138.46","138.46"
01/13/2023,"138.74","138.74","138.74","138.74"
01/12/2023,"138.19","138.19","138.19","138.19"
01/11/2023,"137.70","137.70","137.70","137.70"
01/10/2023,"135.95","135.95","135.95","135.95"
01/09/2023,"135.01","135.01","135.01","135.01"
01/06/2023,"135.08","135.08","135.08","135.08"
01/05/2023,"132.07","132.07","132.07","132.07"
01/04/2023,"133.60","133.60","133.60","133.60"
01/03/2023,"132.59","132.59","132.59","132.59"
12/30/2022,"133.12","133.12","133.12","133.12"
12/29/2022,"133.45","133.45","133.45","133.45"
12/28/2022,"131.15","131.15","131.15","131.15"
12/27/2022,"132.74","132.74","132.74","132.74"
12/23/2022,"133.27","133.27","133.27","133.27"
12/22/2022,"132.49","132.49","132.49","132.49"
12/21/2022,"134.43","134.43","134.43","134.43"
12/20/2022,"132.44","132.44","132.44","132.44"
12/19/2022,"132.30","132.30","132.30","132.30"
12/16/2022,"133.50","133.50","133.50","133.50"
12/15/2022,"135.63","135.63","135.63","135.63"
12/14/2022,"139.09","139.09","139.09","139.09"
12/13/2022,"139.91","139.91","139.91","139.91"
12/12/2022,"138.89","138.89","138.89","138.89"
